video_id,language,subtopic,timecode,section,line
angles-en,en,Missing angles,0:00,the situation,A door swings open. How far did it turn?
angles-en,en,Missing angles,0:05,why it matters,"Three facts cover almost every angle question: a line is 180°, a point is 360°, a triangle is 180°."
angles-en,en,Missing angles,0:15,into the method,Here is how to do it.
angles-en,en,Missing angles,0:19,step 1 — a straight line is 180°,"Angles sitting on a straight line always add to 180. Half a full turn. If you can picture the turn, you never have to remember the number."
angles-en,en,Missing angles,0:32,step 2 — 180 − 130 = 50,Subtract what you have from what it should be. Every missing-angle question is a subtraction once you know which total to use.
angles-en,en,Missing angles,0:43,step 3 — 50°,"And it should look like an acute angle. Check the picture agrees. If your answer is 150° but the angle looks tiny, you have used the wrong total."
angles-en,en,Missing angles,0:57,close,That is the whole method. Try one yourself.
angles-fr,fr,Angles manquants,0:00,the situation,Une porte s'ouvre. De combien a-t-elle tourné ?
angles-fr,fr,Angles manquants,0:05,why it matters,"Trois faits couvrent presque tout : une ligne fait 180°, un point 360°, un triangle 180°."
angles-fr,fr,Angles manquants,0:13,into the method,Voici comment faire.
angles-fr,fr,Angles manquants,0:16,step 1 — a straight line is 180°,"Les angles sur une ligne droite font toujours 180 ensemble. Un demi-tour complet. Si tu imagines le tour, tu n'as plus à retenir le nombre."
angles-fr,fr,Angles manquants,0:28,step 2 — 180 − 130 = 50,"Soustrais ce que tu as de ce que ça devrait faire. Toute question d'angle manquant est une soustraction, une fois le total connu."
angles-fr,fr,Angles manquants,0:40,step 3 — 50°,"Et ça doit ressembler à un angle aigu. Vérifie que le dessin est d'accord. Si tu trouves 150° mais que l'angle est minuscule, tu as pris le mauvais total."
angles-fr,fr,Angles manquants,0:54,close,Voilà toute la méthode. Essaie-en une.
areaRect-en,en,Area of rectangles,0:00,the situation,A garden 8 metres long and 5 metres wide. How much turf?
areaRect-en,en,Area of rectangles,0:07,why it matters,Picture it as rows of one-metre squares: 5 rows of 8.
areaRect-en,en,Area of rectangles,0:13,into the method,Here is how to do it.
areaRect-en,en,Area of rectangles,0:16,step 1 — 5 rows of 8 squares,"Area is just counting squares, arranged in rows. That is why it is length times width — it is a multiplication table drawn out."
areaRect-en,en,Area of rectangles,0:28,step 2 — 8 × 5 = 40,"Forty squares. Do not add. 8 + 5 = 13 is the perimeter's half, not the area."
areaRect-en,en,Area of rectangles,0:37,step 3 — 40 m²,"Square metres, because you counted squares. The little 2 is not decoration. An answer in m instead of m² loses the mark."
areaRect-en,en,Area of rectangles,0:48,close,That is the whole method. Try one yourself.
areaRect-fr,fr,Aire des rectangles,0:00,the situation,Un jardin de 8 mètres sur 5 mètres. Combien de gazon ?
areaRect-fr,fr,Aire des rectangles,0:07,why it matters,Imagine des rangées de carrés d'un mètre : 5 rangées de 8.
areaRect-fr,fr,Aire des rectangles,0:13,into the method,Voici comment faire.
areaRect-fr,fr,Aire des rectangles,0:16,step 1 — 5 rows of 8 squares,"L'aire, c'est compter des carrés rangés en rangées. D'où longueur fois largeur — c'est une table de multiplication dessinée."
areaRect-fr,fr,Aire des rectangles,0:26,step 2 — 8 × 5 = 40,"Quarante carrés. N'additionne pas. 8 + 5 = 13, c'est la moitié du périmètre, pas l'aire."
areaRect-fr,fr,Aire des rectangles,0:34,step 3 — 40 m²,"Mètres carrés, parce que tu as compté des carrés. Le petit 2 n'est pas décoratif. Une réponse en m au lieu de m² perd le point."
areaRect-fr,fr,Aire des rectangles,0:47,close,Voilà toute la méthode. Essaie-en une.
areaTri-en,en,Triangles and parallelograms,0:00,the situation,"A triangular flag: base 10 cm, height 6 cm."
areaTri-en,en,Triangles and parallelograms,0:05,why it matters,Draw a rectangle round it. The triangle is exactly half.
areaTri-en,en,Triangles and parallelograms,0:11,into the method,Here is how to do it.
areaTri-en,en,Triangles and parallelograms,0:15,step 1 — rectangle: 10 × 6 = 60,First find the rectangle it fits inside. Every triangle is half of some rectangle. That is where the formula comes from.
areaTri-en,en,Triangles and parallelograms,0:25,step 2 — ÷ 2 = 30,Halve it. Forgetting to halve is the whole of what goes wrong here.
areaTri-en,en,Triangles and parallelograms,0:32,step 3 — 30 cm²,"Thirty square centimetres. Height means straight up, not the slanted side. That is the other trap."
areaTri-en,en,Triangles and parallelograms,0:41,the trap,One last thing — the mistake to watch for. Careful: don't forget to halve it.
areaTri-en,en,Triangles and parallelograms,0:48,close,That is the whole method. Try one yourself.
areaTri-fr,fr,Triangles et parallélogrammes,0:00,the situation,"Un drapeau triangulaire : base 10 cm, hauteur 6 cm."
areaTri-fr,fr,Triangles et parallélogrammes,0:06,why it matters,Trace un rectangle autour. Le triangle en est exactement la moitié.
areaTri-fr,fr,Triangles et parallélogrammes,0:12,into the method,Voici comment faire.
areaTri-fr,fr,Triangles et parallélogrammes,0:15,step 1 — rectangle: 10 × 6 = 60,Trouve d'abord le rectangle qui l'entoure. Tout triangle est la moitié d'un rectangle. Voilà d'où vient la formule.
areaTri-fr,fr,Triangles et parallélogrammes,0:24,step 2 — ÷ 2 = 30,"Prends-en la moitié. Oublier de diviser par deux, c'est toute l'erreur possible ici."
areaTri-fr,fr,Triangles et parallélogrammes,0:31,step 3 — 30 cm²,"Trente centimètres carrés. La hauteur est verticale, pas le côté incliné. C'est l'autre piège."
areaTri-fr,fr,Triangles et parallélogrammes,0:38,the trap,Une dernière chose — l'erreur à éviter. Attention : n'oublie pas de diviser par deux.
areaTri-fr,fr,Triangles et parallélogrammes,0:46,close,Voilà toute la méthode. Essaie-en une.
colAdd-en,en,Adding in columns,0:00,the situation,Two market stalls counted their takings: 2 456 and 1 837.
colAdd-en,en,Adding in columns,0:06,why it matters,Too big to do in your head. Line them up so ones sit under ones.
colAdd-en,en,Adding in columns,0:14,into the method,Here is how to do it.
colAdd-en,en,Adding in columns,0:18,"step 1 — 6 + 7 = 13, write 3 carry 1","Start at the right. 13 is too big for one column. Only one digit fits in each column. The ten goes next door, where tens live."
colAdd-en,en,Adding in columns,0:31,step 2 — 5 + 3 + 1 = 9,"Now the tens, and do not forget the one you carried. The carried digit is a real ten. Leaving it out loses ten from the answer."
